head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13_0,head_13_1,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21_value_1,head_21_separator_1,head_21_value_2,head_21_separator_2,head_21_value_3,head_21_separator_3,head_21_value_4,head_22,body_0,body_1,body_2,body_3,body_4,body_5,body_6,body_7,body_8,body_9,body_10,body_11,body_12,body_13,body_14_value_1,body_14_separator_1,body_14_value_2,body_14_separator_2,body_14_value_3,body_14_separator_3,body_14_value_4,body_15_value_1,body_15_separator_1,body_15_value_2,body_15_separator_2,body_15_value_3,body_15_separator_3,body_15_value_4,body_15_separator_4,body_15_value_5,body_16,body_17,body_18,body_19,body_20,body_21
1836279601,16777217,61,2023,10,13,14,12,12,0,200,site_117,3,2688,97218,6615057,0,0,,,,,5,;,1,;,6,;,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,594881910977.0,2140.0,,,,0
1836279601,16777217,58,2023,10,13,14,12,15,0,600,site_117,1,2688,97219,6615056,0,0,,,,,9,;,,,,,,,630000,3,,,,,,,,,,5,128,1,,;,,,,,,,;,,,,,,,,21928411481.0,1595.0,,,,0
1836279601,16777217,58,2023,10,13,14,12,14,0,100,site_117,1,2688,97219,6615056,0,0,,,,,9,;,,,,,,,630000,3,,,,,,,,,,5,128,1,,;,,,,,,,;,,,,,,,,21928411481.0,1595.0,,,,0
1836279601,16777217,59,2023,10,13,14,12,15,0,600,site_117,4,2688,97220,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,6,,;,,,,,,,;,,,,,,,,593893603168.0,2057.0,,,,0
1836279601,16777217,59,2023,10,13,14,12,14,0,600,site_117,4,2688,97220,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,6,,;,,,,,,,;,,,,,,,,593893603168.0,2057.0,,,,0
1836279601,16777217,59,2023,10,13,14,12,18,0,0,site_117,6,2688,97221,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,587383564612.0,4886.0,,,,0
1836279601,16777217,59,2023,10,13,14,12,25,0,800,site_117,6,2688,97221,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,587383564612.0,4886.0,,,,0
1836279601,16777217,59,2023,10,13,14,12,18,0,700,site_117,2,2688,97222,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,584140651902.0,2605.0,,,,0
1836279601,16777217,59,2023,10,13,14,12,20,0,700,site_117,2,2688,97222,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,584140651902.0,2605.0,,,,0
1836279601,16777217,59,2023,10,13,14,12,24,0,300,site_117,2,2688,97238,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,628164067245.0,595.0,,,,0
1836279601,16777217,59,2023,10,13,14,12,25,0,800,site_117,2,2688,97238,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,628164067245.0,595.0,,,,0
1836279601,16777217,59,2023,10,13,14,12,25,0,800,site_117,6,2688,97255,6615057,0,0,,,,,5,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,585224768150.0,105.0,,,,0
1836279601,16777217,58,2023,10,13,14,12,27,0,900,site_117,1,2688,97256,6615056,0,0,,,,,8,;,5,;,,,,,630000,3,,,,,,,,,,5,128,0,,;,,,,,,,;,,,,,,,,4408542626.0,1894.0,,,,0
1836279601,16777217,58,2023,10,13,14,12,30,0,900,site_117,1,2688,97256,6615056,0,0,,,,,8,;,5,;,,,,,630000,3,,,,,,,,,,5,128,0,,;,,,,,,,;,,,,,,,,4408542626.0,1894.0,,,,0
1836279601,16777217,60,2023,10,13,14,12,30,0,700,site_117,2,2688,97272,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,5,,;,,,,,,,;,,,,,,,,597087812983.0,1206.0,,,,0
1836279601,16777217,60,2023,10,13,14,12,30,0,900,site_117,2,2688,97272,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,5,,;,,,,,,,;,,,,,,,,597087812983.0,1206.0,,,,0
