head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,body_0,body_1,body_2,body_3,body_4,body_5,body_6,body_7,body_8,body_9,body_10,body_11,body_12,body_13,body_14,body_15,body_16,body_17,body_18,body_19,body_20,body_21
16777234,46024775,cell_1,132579601,721665,1,764,255,6615056,3a94de80b839ff498f90fef3148a93d8,5cba29c06294c278e73e9261d04a0fd7,a3f390d88e4c41f2747bfa2f1b5f87db,4294967295,1437744,0,2,0,402653474,1437744,0,0,0,2,,,18;29;22;-38;-11,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024776,cell_1,132579601,721688,1,179,255,6615057,f2661ea46995dfb0c670028ea6d0b246,3cfacd1beeeb00db3c2afc128dc13b7c,cfcd208495d565ef66e7dff9f98764da,4294967295,1475772,0,2,0,2432722066,1475772,0,0,0,2,,,17;-17;-22;6;76,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024777,cell_0,132579601,721693,2,199,255,6615057,fd4094338b1dcfca91874907e25bdcab,3cfacd1beeeb00db3c2afc128dc13b7c,c4ca4238a0b923820dcc509a6f75849b,4294967295,1543916,0,2,0,855706208,1543916,0,0,0,1,,,,72,150000000,300000000,4294967295,0,-122;121;104;4,0,66;-1;-1,112,0,1540
16777234,46024778,cell_1,132579601,721697,1,734,255,6615056,b71fe115d21b04993891064ab2f1f218,5cba29c06294c278e73e9261d04a0fd7,ad61ab143223efbc24c7d2583be69251,4294967295,1629558,0,2,0,704659964,1629558,0,0,0,1,,,,199,100000000,500000000,4294967295,0,-122;6;101;4,0,-124;-1;-1,38,0,1540
16777234,46024779,cell_0,132579601,721926,2,758,255,6615056,28f348be2c170e14d49eeaf1e6c1e2a4,5cba29c06294c278e73e9261d04a0fd7,32bb90e8976aab5298d5da10fe66f21d,4294967295,1468085,0,2,0,234882828,1468085,0,0,0,1,,,,199,76800000,307200000,4294967295,0,53;103;54;8,0,85;-1;-1,81,0,1540
16777234,46024780,cell_1,132579601,721929,1,88,255,6615057,3e75f018ff9307d9cc38b9989cc0b8cf,3cfacd1beeeb00db3c2afc128dc13b7c,c4ca4238a0b923820dcc509a6f75849b,4294967295,1594908,0,2,0,855655202,1594908,0,0,0,2,,,-115;-57;115;36;64,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024781,cell_1,132579601,721940,1,493,255,6615056,6ccd0f9c351147edae5774091e4aeed3,5cba29c06294c278e73e9261d04a0fd7,a3f390d88e4c41f2747bfa2f1b5f87db,4294967295,1495886,0,2,0,402661723,1495886,0,0,0,1,,,,199,50000000,150000000,4294967295,0,-122;81;113;5,0,5;-1;-1,0,0,1540
16777234,46024782,cell_1,132579601,721941,1,943,255,6615056,aa3345539c1e96cb9768ac16b0d9fd19,5cba29c06294c278e73e9261d04a0fd7,a3f390d88e4c41f2747bfa2f1b5f87db,4294967295,1558864,0,2,0,402667785,1558864,0,0,0,2,,,118;-64;10;-82;-6,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024783,cell_0,132579601,721956,2,203,255,6615057,89e990c2700ec40d66649b23a269d3cc,3cfacd1beeeb00db3c2afc128dc13b7c,cfcd208495d565ef66e7dff9f98764da,4294967295,1400483,0,2,0,2432719169,1400483,0,0,0,1,,,,199,150000000,300000000,4294967295,0,-122;38;41;3,0,35;-1;-1,102,0,1540
16777234,46024784,cell_1,132579601,721957,1,223,255,6615056,61433ea89925df242f74e7857c6fcbb4,5cba29c06294c278e73e9261d04a0fd7,7cbbc409ec990f19c78c75bd1e06f215,4294967295,1447671,0,2,0,1207962275,1447671,0,0,0,1,,,,199,50000000,150000000,4294967295,0,-122;-103;-128;5,0,19;-1;-1,0,0,1540
16777234,46024785,cell_0,132579601,722200,2,182,255,6615056,94ef517704bc26ad24e11368807e7d22,5cba29c06294c278e73e9261d04a0fd7,3295c76acbf4caaed33c36b1b5fc2cb1,4294967295,1637326,0,2,0,1157638267,1637326,0,0,0,1,,,,199,136314000,555745000,4294967295,0,-122;71;8;4,0,69;-1;-1,98,0,1540
16777234,46024786,cell_0,132579601,722204,2,922,255,6615056,3d451bebf9b23df3d3c60f708ed82a44,5cba29c06294c278e73e9261d04a0fd7,32bb90e8976aab5298d5da10fe66f21d,4294967295,1490679,0,2,0,234894943,1490679,0,0,0,1,,,,199,50000000,150000000,4294967295,0,-122;8;97;4,0,105;-1;-1,0,0,1540
16777234,46024787,cell_0,132579601,722207,2,492,255,6615057,cd70951098f883d4577cf213e0c60ce2,3cfacd1beeeb00db3c2afc128dc13b7c,c4ca4238a0b923820dcc509a6f75849b,4294967295,1635053,0,2,0,855647893,1635053,0,0,0,2,,,-30;-73;123;84;-124,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024788,cell_1,132579601,722209,1,757,255,6615056,8ec00ea88bcc3679c6cd9aa32ffae927,5cba29c06294c278e73e9261d04a0fd7,7cbbc409ec990f19c78c75bd1e06f215,4294967295,1344795,0,2,0,1207964045,1344795,0,0,0,1,,,,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024789,cell_0,132579601,722210,2,133,255,6615056,982461af008cf0ee465d24f9c7ec1899,5cba29c06294c278e73e9261d04a0fd7,ad61ab143223efbc24c7d2583be69251,4294967295,1384880,0,2,0,704649900,1384880,0,0,0,2,,,-18;-77;60;-65;-49,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024790,cell_1,132579601,722212,1,153,255,6615056,ea94e9aeafadd855c44192cbe010dc71,5cba29c06294c278e73e9261d04a0fd7,7cbbc409ec990f19c78c75bd1e06f215,4294967295,1412711,0,2,0,1207977300,1412711,0,0,0,1,,,,199,102400000,512000000,4294967295,0,53;101;-122;16,0,19;-1;-1,24,0,1540
